sold_in_30,asking_price,bedrooms,bathrooms,heating,sqft_living,sqft_lot,floors,view,condition,grade,sqft_above,yr_built,yr_renovated
1,200000.0,3,1.0,oil,960,7500,1.0,poor,average,6,960,1953,0.0
0,750000.0,3,2.75,gas,2520,5401,1.0,poor,good,7,1360,1946,0.0
1,84000.0,2,1.0,oil,700,20130,1.0,poor,average,6,700,1949,0.0
1,255000.0,2,1.0,gas,740,5000,1.0,poor,good,6,740,1926,0.0
0,1740000.0,4,3.75,oil,3300,4545,1.5,very good,average,10,2600,1926,1999.0
0,449900.0,3,2.5,gas,2780,8225,2.0,fair,average,9,2780,1990,0.0
0,430000.0,3,2.5,gas,1440,7320,1.0,poor,very good,7,1440,1954,0.0
0,680000.0,6,2.5,oil,3180,9375,1.0,poor,good,8,1590,1967,0.0
0,1650000.0,5,4.0,gas,3310,8400,2.0,poor,average,10,3310,2000,0.0
0,605000.0,3,2.5,gas,2460,138085,2.0,poor,good,9,2460,1977,0.0
1,522000.0,3,1.75,other,1630,15600,1.0,poor,average,7,1630,1958,0.0
0,759000.0,5,2.75,other,3490,8230,2.0,poor,average,10,3490,2005,0.0
1,440000.0,3,1.5,gas,1290,1286,3.0,poor,average,7,1290,2000,0.0
1,284700.0,3,1.0,oil,1700,8645,1.0,poor,average,6,1700,1955,0.0
0,374950.0,3,2.5,gas,2540,11562,1.0,fair,average,8,1290,1964,0.0
0,533250.0,4,1.75,oil,1520,15398,1.0,poor,good,7,1370,1960,0.0
0,689800.0,3,2.75,oil,2390,9313,1.0,poor,very good,8,1390,1942,0.0
1,160000.0,3,1.0,oil,1350,8700,1.5,poor,average,6,1350,1942,0.0
1,255500.0,3,1.0,other,1350,8700,1.5,poor,average,6,1350,1942,0.0
1,169500.0,2,1.0,gas,790,7450,1.0,poor,good,6,790,1944,0.0
0,586000.0,4,2.25,gas,2130,9000,2.0,poor,good,8,2130,1965,0.0
0,680000.0,4,2.5,oil,2700,37431,1.0,poor,good,8,1600,1978,0.0
0,851500.0,3,2.0,oil,3200,18184,1.0,poor,very good,8,2000,1977,0.0
1,637000.0,4,3.5,oil,3080,118918,2.0,poor,average,9,3080,2008,0.0
1,304999.0,4,2.25,gas,2270,9600,1.0,poor,average,7,1290,1976,0.0
1,95000.0,1,0.75,electric,760,5746,1.0,poor,good,5,760,1915,0.0
0,240000.0,4,1.75,gas,1420,5382,1.0,poor,very good,5,1040,1942,0.0
0,772000.0,4,2.5,other,2500,8680,1.0,poor,good,7,1250,1958,0.0
1,245000.0,2,1.5,oil,1450,6258,1.0,poor,good,8,1450,1983,0.0
0,750000.0,4,2.5,gas,3290,7538,2.0,poor,average,9,3290,2004,0.0
0,2890000.0,4,4.0,oil,5780,7173,2.0,poor,average,11,4130,2008,0.0
1,239000.0,2,1.0,oil,1210,9375,1.0,fair,good,7,1210,1952,0.0
0,460000.0,2,1.5,oil,1090,4000,1.0,poor,average,8,970,1951,0.0
1,475000.0,2,1.0,oil,890,4590,1.0,poor,average,7,890,1923,0.0
1,445000.0,3,1.75,electric,1360,4998,1.0,poor,average,8,1360,1968,0.0
1,775000.0,2,2.5,oil,2680,7392,1.0,poor,average,9,2680,2004,0.0
0,889000.0,4,2.5,gas,2570,4480,1.5,poor,good,8,1580,1927,0.0
1,300000.0,3,1.0,electric,930,5160,1.5,poor,very good,6,930,1919,0.0
1,395000.0,1,1.0,electric,730,3000,1.0,poor,average,7,730,1911,0.0
1,576750.0,3,2.0,oil,2220,5000,1.0,poor,good,7,1110,1966,0.0
0,495000.0,5,3.25,oil,2500,7620,1.0,good,average,7,1250,1962,0.0
1,615000.0,4,2.75,gas,2750,15450,1.0,poor,average,8,1800,1978,0.0
0,675000.0,4,2.5,gas,3130,12463,1.0,poor,good,8,1620,1978,0.0
1,359950.0,4,2.5,electric,3010,5701,2.0,poor,average,8,3010,2003,0.0
1,265000.0,3,1.5,other,1530,7500,1.5,poor,average,7,1530,1986,0.0
0,367000.0,3,2.5,oil,2260,93218,1.0,average,good,6,2260,1998,0.0
0,1080000.0,4,2.25,electric,2820,5000,1.5,average,good,9,1800,1926,0.0
0,525000.0,3,3.25,oil,2200,7440,2.0,poor,good,7,1710,1947,0.0
1,620000.0,3,1.75,other,1480,2185,2.5,poor,average,9,1480,2005,0.0
0,2200000.0,4,3.0,gas,3540,11098,2.0,poor,average,10,3000,1940,0.0
1,280000.0,3,2.0,oil,1790,42399,1.0,poor,good,7,1790,1990,0.0
0,790000.0,3,1.5,gas,2390,4452,2.0,fair,average,9,1790,1929,0.0
1,490000.0,4,3.0,oil,2640,5267,2.0,poor,average,7,2640,2001,0.0
0,250000.0,5,1.75,oil,2320,7700,1.0,poor,very good,7,1290,1962,0.0
0,1330000.0,4,2.5,oil,2440,3600,2.5,poor,good,8,2440,1902,0.0
1,120000.0,3,1.0,gas,1260,7500,1.0,poor,average,6,1260,1954,0.0
1,210000.0,4,1.75,oil,1200,7680,1.0,poor,average,7,1200,1968,0.0
0,387000.0,3,1.75,oil,1810,10800,1.0,poor,very good,8,1210,1968,0.0
1,408000.0,3,1.0,oil,1380,7015,1.5,poor,good,7,1380,1925,0.0
0,410000.0,3,1.0,gas,1470,6500,1.0,poor,good,7,1470,1953,0.0
1,390000.0,3,1.0,oil,1010,7920,1.0,poor,average,6,1010,1925,0.0
1,357000.0,3,1.5,other,1340,11744,1.0,poor,fair,7,1340,1950,0.0
1,265000.0,3,1.0,gas,1122,6554,1.5,poor,average,5,1122,1900,0.0
1,248000.0,2,1.0,oil,770,8600,1.0,poor,good,4,770,1914,0.0
0,730000.0,3,2.25,oil,2040,130680,2.0,poor,average,9,2040,1977,0.0
1,425000.0,4,2.5,oil,3052,12145,2.0,poor,average,8,3052,2004,0.0
0,680000.0,3,2.5,gas,2620,14248,2.0,poor,good,8,1830,1977,0.0
1,395000.0,2,1.0,oil,1100,3975,1.0,poor,average,7,900,1950,0.0
1,308000.0,3,1.75,oil,1680,8629,1.0,poor,average,8,1200,1977,0.0
0,422500.0,3,2.0,oil,1960,6450,1.0,poor,good,7,1000,1977,0.0
0,418000.0,2,1.0,oil,1040,6900,1.0,poor,good,7,1040,1915,0.0
0,876650.0,3,3.25,gas,2170,12508,1.5,poor,very good,9,1650,1928,1970.0
1,450000.0,3,2.5,oil,1639,2710,2.0,poor,average,8,1479,2003,0.0
0,978500.0,3,2.25,gas,2060,7080,2.0,poor,average,9,1800,1940,0.0
0,975000.0,4,2.5,other,2720,10455,2.0,average,average,10,2500,1981,0.0
1,455000.0,3,2.25,gas,2180,6850,1.0,poor,average,7,1750,1973,0.0
1,220000.0,2,1.0,oil,840,9000,1.0,poor,very good,6,840,1951,0.0
1,420000.0,4,2.25,gas,2270,9100,2.0,poor,average,7,2270,1978,0.0
1,408500.0,4,2.5,oil,2720,7043,2.0,poor,average,9,2720,2003,0.0
1,716000.0,3,1.5,gas,1140,4800,1.5,poor,average,7,1140,1915,0.0
1,357823.0,3,1.5,oil,1240,9196,1.0,poor,average,8,1240,1968,0.0
0,335000.0,3,1.0,gas,980,9903,1.0,poor,good,7,980,1966,0.0
0,825000.0,4,1.5,gas,1890,6938,1.5,poor,average,8,1890,1919,0.0
0,1210000.0,4,2.75,oil,4250,10925,2.0,poor,average,10,4250,2003,0.0
1,475000.0,3,1.5,oil,1480,13457,1.0,poor,average,7,1480,1959,0.0
0,1500000.0,4,3.75,oil,3770,4000,2.5,poor,very good,9,2890,1916,0.0
0,540000.0,6,3.0,oil,2870,206474,2.0,poor,average,7,2330,1960,1985.0
0,635000.0,3,2.5,gas,1530,2978,1.0,poor,average,7,1210,1997,0.0
0,1300000.0,3,2.75,gas,4120,16365,1.0,average,average,12,4120,1999,0.0
0,1380000.0,3,3.25,electric,3786,38038,1.0,very good,average,9,1934,1978,2006.0
1,215000.0,4,2.25,oil,1500,5393,2.0,poor,average,7,1500,1999,0.0
1,442500.0,3,1.5,oil,1800,8303,1.0,poor,average,7,1200,1957,0.0
0,311000.0,2,1.75,gas,1180,55321,1.0,poor,average,8,1180,1941,2004.0
1,433500.0,3,1.75,electric,1540,9450,1.0,poor,good,6,1040,1919,0.0
1,450000.0,3,2.25,oil,1610,8296,2.0,poor,average,8,1610,1978,0.0
1,535000.0,3,2.5,oil,2070,4132,2.0,poor,average,8,2070,1999,0.0
0,577000.0,3,1.75,oil,1760,12874,1.0,poor,good,7,1230,1967,0.0
0,480000.0,3,1.75,gas,1740,8528,1.0,poor,good,7,1290,1939,0.0
1,400000.0,3,1.5,gas,1950,4473,1.0,poor,good,6,1530,1914,0.0
1,355000.0,3,1.75,electric,1460,7203,1.0,poor,average,7,1460,1990,0.0
1,998000.0,4,3.25,oil,3770,982998,2.0,poor,average,10,3770,1992,0.0
0,550000.0,4,1.75,electric,2410,8447,2.0,good,good,8,2060,1936,1980.0
1,210000.0,3,1.75,oil,1400,7300,2.0,poor,average,6,1400,1948,0.0
1,317000.0,3,2.5,oil,2100,7587,2.0,poor,average,9,2100,1990,0.0
1,700000.0,4,3.5,oil,5360,25800,1.0,poor,average,9,3270,1971,0.0
0,700000.0,4,3.5,other,3150,6175,2.0,poor,average,9,3150,2001,0.0
0,1020000.0,5,3.5,oil,4180,17841,2.0,average,average,10,3160,1990,0.0
0,460000.0,4,2.5,electric,2110,35091,1.0,poor,good,8,1290,1985,0.0
1,502000.0,4,1.75,electric,1920,3844,1.0,poor,average,7,1170,1967,0.0
1,364950.0,4,2.5,electric,2310,8030,2.0,poor,average,7,2310,1978,0.0
0,680000.0,3,2.25,electric,2330,4000,1.5,average,very good,7,1520,1927,0.0
1,235500.0,5,2.5,gas,2340,13713,1.0,poor,fair,8,1670,1967,0.0
0,576000.0,4,2.5,electric,2590,5756,2.0,poor,average,8,2590,2001,0.0
1,335000.0,3,2.75,other,2850,8039,1.0,poor,good,8,1540,1989,0.0
1,122000.0,2,1.0,oil,730,6728,1.0,poor,average,6,730,1953,0.0
0,432000.0,3,1.75,oil,1470,6250,1.0,good,good,7,1070,1939,0.0
1,276000.0,4,2.25,oil,2460,11250,1.0,poor,good,8,2460,1959,0.0
1,450000.0,3,2.25,electric,2080,111513,1.5,poor,average,8,1680,1977,0.0
1,210000.0,2,1.0,electric,990,8140,1.0,poor,poor,6,990,1910,0.0
1,279000.0,3,2.5,oil,1450,4106,2.0,poor,average,7,1450,2011,0.0
1,635000.0,3,1.75,oil,1340,3900,2.0,poor,very good,7,1340,1900,0.0
1,350000.0,3,2.5,oil,2730,7372,2.0,poor,average,9,2730,1998,0.0
1,218000.0,3,1.0,other,1140,7560,1.0,poor,good,6,1140,1958,0.0
0,750000.0,4,1.5,gas,1950,6300,1.5,fair,average,7,1650,1944,0.0
0,735000.0,5,2.75,gas,3390,5211,2.0,poor,average,9,3390,2004,0.0
1,415000.0,3,1.75,oil,1770,10513,1.0,poor,good,7,1400,1982,0.0
1,580000.0,3,2.5,oil,1980,1873,2.0,poor,average,7,1470,1996,0.0
0,1500000.0,4,3.25,electric,3070,10375,2.0,poor,average,10,2180,1962,2005.0
1,499900.0,3,2.5,oil,2100,5112,2.0,poor,average,8,2100,1999,0.0
1,525000.0,4,2.25,gas,2620,98881,1.0,poor,average,7,1820,1952,0.0
0,810000.0,4,2.5,gas,2810,10613,2.0,poor,average,9,2810,1989,0.0
0,318700.0,4,2.5,gas,2770,19116,1.0,poor,good,8,1600,1961,0.0
0,720000.0,4,1.75,gas,2530,5000,1.5,average,very good,8,2070,1917,0.0
1,291000.0,3,1.0,gas,1280,10500,1.5,poor,good,5,1280,1941,0.0
1,420000.0,3,1.75,oil,1060,38644,1.0,poor,average,7,1060,1983,0.0
0,247500.0,4,1.75,oil,2290,7765,1.0,poor,average,6,2290,1936,1953.0
1,235000.0,2,1.0,oil,820,5100,1.0,poor,good,6,820,1954,0.0
0,639000.0,4,2.0,gas,1840,5419,1.0,poor,good,7,920,1942,0.0
1,314950.0,3,1.0,other,1590,8470,1.0,poor,good,7,1140,1967,0.0
1,525000.0,3,1.0,oil,1640,6180,1.0,poor,good,7,1640,1946,0.0
0,2400000.0,3,2.25,oil,3000,11665,1.5,very good,average,11,3000,2001,0.0
0,1390000.0,3,3.0,oil,2490,3600,2.0,good,good,8,1790,1911,0.0
0,521450.0,3,2.0,oil,1290,5700,1.0,poor,very good,7,1290,1950,0.0
1,390000.0,2,1.0,gas,980,3800,1.0,poor,average,7,980,1926,0.0
1,359950.0,5,2.25,oil,2450,9432,2.0,poor,average,8,2450,1973,0.0
0,430000.0,3,2.0,oil,1360,5120,1.5,poor,good,6,910,1924,0.0
0,960000.0,4,3.5,gas,4610,11676,2.0,poor,average,10,4610,2000,0.0
0,1350000.0,4,2.0,oil,2240,10296,1.0,poor,very good,8,2240,1948,0.0
1,526000.0,2,1.0,oil,1450,4500,1.5,poor,good,7,1450,1921,0.0
1,550000.0,3,3.5,oil,1450,1091,2.0,poor,average,8,1200,2007,0.0
1,325000.0,3,1.75,electric,2080,6554,1.0,poor,average,7,1040,1950,0.0
1,365000.0,3,2.5,gas,1780,1754,3.0,poor,average,8,1780,2007,0.0
0,825050.0,4,3.25,oil,2860,3680,2.0,poor,average,9,1980,1925,1993.0
1,390000.0,4,1.0,oil,1140,6250,1.5,poor,average,6,1140,1958,0.0
0,269900.0,3,1.5,oil,1420,22100,1.0,poor,very good,7,1420,1957,0.0
1,267000.0,3,2.0,oil,1390,6005,2.0,poor,average,8,1390,2005,0.0
0,925000.0,3,2.5,gas,2690,7000,2.0,poor,very good,7,1840,1943,0.0
1,245000.0,3,1.75,oil,1670,11452,1.0,average,average,8,1670,1992,0.0
1,439000.0,4,2.0,oil,1560,7500,1.0,poor,good,7,1560,1968,0.0
1,400000.0,2,1.0,gas,1470,6120,1.0,poor,fair,7,1470,1940,0.0
0,560000.0,3,2.25,oil,2070,15002,1.5,poor,average,8,2070,1955,2013.0
0,703011.0,2,1.0,gas,1370,5922,1.0,average,average,8,1130,1941,0.0
1,363000.0,2,1.0,gas,1120,4800,1.0,poor,average,7,770,1926,0.0
1,650000.0,4,2.75,gas,2640,6240,2.0,poor,average,9,2640,2001,0.0
1,228950.0,3,1.0,gas,1120,6625,1.0,poor,average,6,1120,1942,0.0
1,465000.0,4,1.75,gas,1730,11700,1.0,poor,average,7,880,1956,0.0
0,725000.0,3,2.5,gas,2090,9847,2.0,average,average,9,2090,1983,0.0
1,212500.0,3,1.0,electric,920,14400,1.0,poor,good,7,920,1977,0.0
0,526000.0,4,2.25,oil,2970,54450,2.0,poor,average,8,2970,1983,1998.0
1,373000.0,8,3.0,oil,2850,12714,1.0,poor,average,7,2850,1959,0.0
1,300000.0,3,2.0,other,1310,9855,1.0,poor,average,7,1310,1962,0.0
1,405000.0,5,2.5,oil,2430,4781,2.0,poor,average,9,2430,2001,0.0
1,435000.0,4,2.0,gas,1650,4745,1.0,poor,average,7,1130,1972,0.0
1,252000.0,3,2.25,oil,1570,8410,1.0,poor,average,7,1180,1991,0.0
1,875000.0,3,1.0,oil,1220,8119,1.0,poor,good,7,1220,1955,0.0
1,280000.0,3,2.0,oil,1780,11342,1.0,poor,average,7,1780,1964,0.0
1,450000.0,3,2.5,oil,2180,4226,2.0,poor,average,8,2180,2004,0.0
0,905000.0,3,2.5,other,3520,237402,2.5,poor,average,9,3520,2004,0.0
1,246700.0,3,2.0,gas,1610,13309,1.0,poor,good,7,1610,1967,0.0
1,555750.0,3,1.0,gas,1060,4880,1.0,poor,fair,6,910,1913,0.0
1,262500.0,3,1.5,oil,1160,8906,1.0,poor,average,7,1160,1962,0.0
1,515000.0,2,1.0,oil,910,4725,1.0,poor,average,7,910,1949,0.0
1,499500.0,3,2.5,oil,2970,21907,2.0,poor,average,9,2970,1998,0.0
1,135000.0,1,1.0,oil,790,13062,1.0,poor,average,6,790,1942,0.0
0,937500.0,4,2.5,oil,3130,21100,1.0,very good,average,9,2530,1956,0.0
1,458000.0,3,1.5,electric,1470,9570,1.0,poor,average,7,1280,1941,0.0
0,660000.0,3,2.25,gas,2675,40910,2.0,poor,average,8,2675,1984,0.0
1,265000.0,3,2.0,gas,1340,6783,1.0,poor,good,7,1340,1987,0.0
1,280000.0,3,2.5,oil,1800,8697,2.0,poor,average,8,1800,1987,0.0
0,875000.0,4,3.0,gas,3720,14125,1.0,poor,good,9,1930,1960,0.0
1,125000.0,3,1.0,oil,920,7276,1.0,poor,good,6,920,1961,0.0
0,634800.0,4,3.0,gas,3280,4904,2.0,poor,average,7,3280,2005,0.0
0,359950.0,3,2.25,gas,1940,11612,1.0,poor,good,8,1100,1981,0.0
1,417000.0,3,1.75,oil,1590,11454,1.0,poor,good,8,1590,1979,0.0
0,649950.0,3,2.5,oil,3310,387684,1.0,poor,average,8,2160,1919,1996.0
1,441000.0,3,1.5,oil,1540,7200,1.0,poor,average,7,1540,1968,0.0
1,462600.0,3,1.75,electric,1430,11761,1.0,poor,good,8,1430,1964,0.0
1,365070.0,4,2.5,oil,2506,6232,2.0,poor,average,7,2506,2006,0.0
0,470000.0,5,1.75,gas,2740,9600,1.0,poor,good,7,1370,1945,0.0
1,340000.0,3,1.75,oil,1540,10400,1.0,poor,average,6,1540,1977,0.0
0,910000.0,4,2.75,gas,4190,38912,1.0,poor,good,9,2040,1965,0.0
0,661000.0,4,2.25,oil,1990,4600,1.5,average,good,8,1420,1932,0.0
0,635000.0,4,2.5,oil,2410,7069,2.0,poor,average,9,2410,1993,0.0
1,282000.0,2,1.0,oil,1150,6098,1.0,poor,average,7,950,1948,0.0
1,235000.0,4,1.75,gas,1720,10137,2.0,poor,average,7,1720,1956,0.0
1,360000.0,4,2.25,electric,1930,6508,2.0,poor,average,8,1930,1996,0.0
1,245000.0,3,2.5,oil,1820,6785,1.0,poor,average,7,1420,1994,0.0
0,750500.0,5,3.0,oil,2170,2440,1.5,poor,good,8,1450,1911,0.0
1,525000.0,3,1.75,oil,1600,9579,1.0,poor,average,8,1180,1977,0.0
0,740000.0,4,3.5,other,3760,57063,2.0,poor,average,9,2950,1998,0.0
1,292000.0,3,1.75,oil,1090,4500,1.5,poor,very good,8,1090,1929,0.0
0,625000.0,4,2.5,gas,2740,9599,1.0,average,average,8,1820,1961,0.0
0,700000.0,3,2.5,gas,3110,11727,2.0,average,average,9,3110,2002,0.0
1,399950.0,3,2.5,oil,1610,1320,2.0,poor,average,7,1280,2007,0.0
1,545000.0,4,3.5,oil,1880,1341,3.0,poor,average,8,1650,2007,0.0
0,339999.0,4,2.0,gas,1740,6369,1.0,poor,very good,6,870,1954,0.0
1,545000.0,3,2.5,electric,1990,5149,2.0,poor,average,8,1990,2003,0.0
0,260000.0,4,1.75,oil,1960,8400,1.0,poor,good,8,1960,1967,0.0
0,701000.0,4,3.0,oil,2910,8540,2.0,poor,average,9,2910,2003,0.0
1,290000.0,3,2.25,gas,1500,7482,1.0,poor,good,7,1210,1968,0.0
0,330600.0,1,1.0,gas,580,1799,1.0,poor,average,7,580,1908,2005.0
0,825000.0,5,3.0,oil,4080,7500,2.0,average,good,8,2720,1961,0.0
1,378950.0,4,2.0,oil,1820,8400,1.0,poor,very good,7,1300,1956,0.0
1,435000.0,4,2.5,oil,2650,9065,2.0,poor,average,7,2650,2000,0.0
1,245000.0,3,2.0,other,1390,8250,1.0,poor,average,7,1390,1987,0.0
0,720000.0,3,2.5,oil,2880,10126,2.0,poor,good,10,2880,1985,0.0
1,215000.0,3,1.0,oil,1060,9954,1.0,poor,good,7,1060,1960,0.0
1,522500.0,4,1.75,gas,1640,9299,1.5,poor,good,7,870,1943,0.0
1,489000.0,3,2.0,electric,1510,3000,1.0,poor,good,7,910,1972,0.0
1,523000.0,4,2.5,other,3180,20870,2.0,poor,average,8,2120,1967,0.0
0,359950.0,3,2.5,gas,1980,7800,2.0,poor,average,8,1980,1999,0.0
1,232000.0,2,1.0,gas,1200,8063,1.0,poor,good,6,1200,1958,0.0
0,810000.0,4,2.25,electric,2020,5600,1.0,average,good,8,1210,1961,0.0
1,273000.0,3,2.25,oil,1930,8192,1.0,poor,average,7,1470,1984,0.0
0,1190000.0,5,2.5,oil,2710,14989,1.0,poor,average,8,1720,1959,0.0
1,438000.0,5,1.0,oil,1950,6250,1.5,poor,good,7,1450,1917,0.0
1,340000.0,3,1.0,gas,1250,4800,1.0,poor,good,7,1250,1951,0.0
1,790000.0,3,1.75,oil,2050,4080,2.0,poor,average,8,2050,1991,0.0
1,341000.0,3,2.25,electric,1750,8900,2.0,poor,good,8,1750,1977,0.0
1,335000.0,4,2.5,electric,2154,6050,2.0,poor,average,8,2154,2012,0.0
0,360000.0,3,2.0,electric,1960,8846,1.0,good,good,6,980,1940,0.0
1,300000.0,3,1.0,oil,1220,13000,1.0,poor,good,7,1220,1955,0.0
0,1050000.0,4,2.75,oil,2950,4560,2.0,poor,very good,7,1810,1912,0.0
1,360000.0,3,1.5,gas,1340,1110,2.0,poor,average,7,1040,1999,0.0
0,527000.0,6,3.5,oil,3000,8401,1.0,poor,average,8,1500,1979,0.0
1,606000.0,3,2.5,gas,2200,6005,2.0,poor,average,9,2200,1997,0.0
1,654000.0,3,2.5,electric,3240,60840,2.0,poor,average,7,3240,1997,0.0
0,825000.0,4,2.5,gas,3220,5262,2.0,poor,average,9,3220,2003,0.0
0,270000.0,5,2.5,gas,2630,8470,1.5,poor,good,8,2630,1968,0.0
1,329500.0,5,1.75,oil,3290,8000,1.0,poor,average,7,1790,1968,0.0
0,1570000.0,4,2.25,oil,2890,18226,3.0,very good,average,10,2890,1984,0.0
1,271500.0,3,1.75,oil,1995,18360,2.0,poor,average,7,1995,1957,0.0
1,390000.0,3,1.75,oil,1300,10030,1.0,poor,good,7,1300,1967,0.0
0,755000.0,2,2.5,other,1360,2070,2.0,poor,average,8,1360,1999,0.0
1,509500.0,2,2.5,electric,1590,1485,2.0,poor,average,8,1300,1994,0.0
1,475000.0,5,2.5,oil,2010,3600,1.5,poor,average,6,1510,1912,0.0
1,562000.0,3,2.0,gas,3250,50529,2.0,poor,good,8,3250,1978,0.0
0,780000.0,4,2.5,oil,2270,13449,1.0,poor,good,9,1310,1975,0.0
0,710000.0,3,2.0,gas,1880,3000,1.0,poor,good,8,1040,1931,0.0
1,445000.0,3,1.0,gas,1050,5664,1.0,poor,good,7,910,1947,0.0
0,729000.0,3,3.25,oil,2250,60548,1.0,poor,average,9,2250,2005,0.0
0,815000.0,6,3.0,oil,2860,17853,1.0,poor,average,8,1430,1962,2015.0
0,615000.0,4,2.75,gas,2820,13193,1.0,poor,average,8,1860,1965,0.0
0,865000.0,4,3.25,electric,3400,99170,1.0,poor,good,8,2000,1980,0.0
1,425000.0,4,1.0,oil,1480,8321,1.0,poor,average,7,1080,1953,0.0
0,750000.0,4,2.5,gas,2680,4548,2.0,poor,average,8,2680,2009,0.0
1,170000.0,3,0.75,oil,1040,42180,1.0,poor,fair,6,1040,1947,0.0
0,271900.0,3,2.0,electric,1450,8771,2.0,poor,good,7,1450,1991,0.0
1,260000.0,4,1.5,oil,2130,8800,1.0,poor,average,7,1100,1962,0.0
1,235000.0,3,1.75,oil,1370,14030,1.0,poor,good,8,1370,1977,0.0
0,585000.0,3,2.0,gas,3190,207346,2.0,poor,average,9,3190,1994,0.0
1,544500.0,5,1.0,oil,1690,3240,1.5,poor,average,7,1690,1914,0.0
0,912000.0,4,3.75,other,1980,4095,2.0,poor,average,9,1980,2009,0.0
0,260000.0,3,2.5,gas,1490,8102,2.0,poor,good,7,1490,1990,0.0
0,1280000.0,4,2.5,oil,2720,16454,1.0,fair,very good,9,1870,1963,0.0
1,220000.0,3,1.75,gas,1230,7200,1.0,poor,average,7,1230,1986,0.0
1,370000.0,3,1.75,oil,1530,10300,1.0,poor,good,7,1530,1978,0.0
1,450000.0,3,1.75,electric,2290,44866,1.0,poor,average,8,1390,1981,0.0
1,534950.0,5,1.5,gas,2240,6337,1.0,poor,average,8,1280,1956,0.0
0,465000.0,4,2.5,gas,3050,32450,1.0,poor,good,8,1550,1983,0.0
1,178000.0,3,1.0,gas,1100,5734,1.0,poor,good,7,1100,1955,0.0
1,215000.0,3,1.0,oil,1610,7140,1.0,poor,average,7,1080,1976,0.0
1,300000.0,3,2.75,oil,1910,15508,1.0,poor,average,8,1210,1984,0.0
0,430000.0,3,2.0,oil,1510,7066,1.0,average,average,7,1230,1973,0.0
1,599000.0,2,1.0,oil,1550,7713,1.0,poor,average,7,1550,1930,1979.0
1,326500.0,3,1.0,oil,1060,7920,1.0,poor,good,7,1060,1968,0.0
1,358803.0,2,1.0,oil,1040,5765,1.0,poor,average,7,1040,1944,0.0
0,1160000.0,3,2.5,gas,2490,24691,1.0,very good,good,9,1580,1961,0.0
1,156000.0,2,1.0,oil,920,5889,1.0,poor,good,6,920,1950,0.0
1,219000.0,3,1.0,gas,1250,8276,1.5,poor,very good,6,1250,1939,0.0
0,1190000.0,3,1.5,oil,2540,2700,2.0,poor,good,8,1630,1922,0.0
1,340000.0,3,1.75,oil,1340,196020,1.0,poor,good,7,1340,1987,0.0
0,899100.0,5,2.5,oil,2410,15300,1.0,poor,good,8,1400,1975,0.0
1,330000.0,3,1.0,gas,1850,5775,2.0,poor,average,6,1740,1928,0.0
1,315000.0,3,1.75,oil,1460,7884,1.0,poor,average,8,1460,1975,0.0
0,600000.0,3,3.0,gas,1520,1800,3.0,poor,average,7,1520,2003,0.0
1,430000.0,3,1.0,oil,1740,4800,1.0,poor,average,8,1740,1952,0.0
0,688000.0,4,4.0,electric,4000,9309,2.0,poor,average,9,4000,2007,0.0
0,1080000.0,4,4.25,oil,3500,8750,1.0,very good,very good,9,2140,1951,0.0
1,250000.0,3,1.0,oil,1060,52272,1.0,poor,average,7,1060,1960,0.0
1,402500.0,3,1.0,oil,1290,4000,1.5,poor,average,7,1290,1926,0.0
1,432500.0,3,2.5,gas,2390,6435,1.0,poor,average,8,1600,1978,0.0
1,455000.0,3,2.5,oil,1870,7344,1.0,poor,average,8,1470,1980,0.0
1,459500.0,4,2.5,oil,2060,8968,1.0,poor,good,7,1190,1975,0.0
1,371000.0,4,1.75,gas,1610,11305,1.0,poor,average,7,1610,1968,0.0
1,289500.0,3,2.25,electric,2120,3400,2.0,poor,average,7,2120,2002,0.0
1,496752.0,2,1.0,oil,1980,5000,1.0,poor,good,7,1090,1923,0.0
1,480000.0,5,2.0,electric,2590,8610,1.0,poor,good,7,1340,1958,0.0
0,705000.0,4,1.5,oil,1780,3120,1.5,good,average,8,1780,1926,0.0
1,485000.0,4,3.25,oil,2820,6611,1.0,poor,average,7,1410,1958,0.0
1,622000.0,3,2.25,oil,1550,1919,3.0,poor,average,8,1550,2003,0.0
1,370000.0,3,1.5,oil,1360,10726,1.0,poor,good,7,1360,1966,0.0
1,230000.0,3,1.75,oil,1340,8250,1.0,poor,average,7,1100,1985,0.0
0,715000.0,3,2.25,oil,1990,4977,3.0,poor,average,9,1990,2012,0.0
1,240415.0,3,1.75,other,1120,10187,1.0,poor,average,7,1120,1968,0.0
1,366000.0,3,1.75,oil,1680,6108,1.0,poor,average,8,1680,1989,0.0
1,750000.0,2,1.0,oil,1620,6120,1.0,poor,average,7,1620,1951,0.0
0,800000.0,2,2.5,gas,2395,6143,1.0,poor,average,8,2395,2003,0.0
1,318000.0,3,2.25,oil,1250,1017,3.0,poor,average,8,1250,2008,0.0
1,639000.0,4,2.0,electric,1940,5000,1.0,poor,good,7,980,1910,0.0
1,453000.0,3,2.5,oil,1750,3900,2.0,poor,average,8,1750,1977,0.0
1,437000.0,2,1.75,oil,1500,6800,1.0,poor,good,7,910,1942,0.0
1,490000.0,4,2.5,oil,3000,8645,2.0,poor,average,8,3000,1985,0.0
1,499950.0,4,1.75,oil,1520,7700,1.0,poor,good,7,1520,1967,0.0
